date,open,close,volume
2025-04-01,219.805,223.19,36412740
2025-04-02,221.315,223.89,35905904
2025-04-03,205.54,203.19,103419006
2025-04-04,193.89,188.38,125910913
2025-04-07,177.2,181.46,160466286
2025-04-08,186.7,172.42,120859491
2025-04-09,171.95,198.85,184395885
2025-04-10,189.065,190.42,121879981
2025-04-11,186.1,198.15,87435915
2025-04-14,211.44,202.52,101352911
2025-04-15,201.855,202.14,51343872
2025-04-16,198.36,194.27,59732423
2025-04-17,197.2,196.98,52164675
2025-04-21,193.265,193.16,46742537
2025-04-22,196.12,199.74,52976371
2025-04-23,206.0,204.6,52929165
2025-04-24,204.89,208.37,47310989
2025-04-25,206.365,209.28,38222258
2025-04-28,210.0,210.14,38743074
2025-04-29,208.693,211.21,36827633
2025-04-30,209.3,212.5,52286454
2025-05-01,209.08,213.32,57365675
2025-05-02,206.09,205.35,101010621
2025-05-05,203.1,198.89,69018452
2025-05-06,198.21,198.51,51216482
2025-05-07,199.17,196.25,68616943
2025-05-08,197.72,197.49,50478872
2025-05-09,199.0,198.53,36453923
2025-05-12,210.97,210.79,63775814
2025-05-13,210.43,212.93,51909332
2025-05-14,212.43,212.33,49325825
2025-05-15,210.95,211.45,45029473
2025-05-16,212.36,211.26,54737850
2025-05-19,207.91,208.78,46140527
2025-05-20,207.67,206.86,42496635
2025-05-21,205.17,202.09,59211774
2025-05-22,200.71,201.36,46742407
2025-05-23,193.665,195.27,78432918
2025-05-27,198.3,200.21,56288475
2025-05-28,200.59,200.42,45339678
2025-05-29,203.575,199.95,51477938
2025-05-30,199.37,200.85,70819942
2025-06-02,200.28,201.7,35423294
2025-06-03,201.35,203.27,46381567
2025-06-04,202.91,202.82,43603985
2025-06-05,203.5,200.63,55221235
2025-06-06,203.0,203.92,46607693
2025-06-09,204.39,201.45,72862557
2025-06-10,200.6,202.67,54672608
2025-06-11,203.5,198.78,60989857
2025-06-12,199.08,199.2,43904635
2025-06-13,199.73,196.45,51447349
2025-06-16,197.3,198.42,43020691
2025-06-17,197.2,195.64,38856152
2025-06-18,195.94,196.58,45394689
2025-06-20,198.235,201.0,96813542
2025-06-23,201.625,201.5,55814272
2025-06-24,202.59,200.3,54064033
2025-06-25,201.45,201.56,39525730
2025-06-26,201.43,201.0,50799121
2025-06-27,201.89,201.08,73188571
2025-06-30,202.01,205.17,91912816
2025-07-01,206.665,207.82,78788867
2025-07-02,208.91,212.44,67941811
2025-07-03,212.145,213.55,34955836
2025-07-07,212.68,209.95,50228984
2025-07-08,210.1,210.01,42848928
2025-07-09,209.53,211.14,48749367
2025-07-10,210.505,212.41,44443635
2025-07-11,210.565,211.16,39765812
2025-07-14,209.925,208.62,38840111
2025-07-15,209.22,209.11,42296339
2025-07-16,210.295,210.16,47490532
2025-07-17,210.57,210.02,48068141
2025-07-18,210.87,211.18,48974591
2025-07-21,212.1,212.48,51377434
2025-07-22,213.14,214.4,46404072
2025-07-23,215.0,214.15,46989301
2025-07-24,213.9,213.76,46022620
2025-07-25,214.7,213.88,40268781
2025-07-28,214.03,214.05,37858017
2025-07-29,214.175,211.27,51411723
2025-07-30,211.895,209.05,45512514
2025-07-31,208.49,207.57,80698431
2025-08-01,210.865,202.38,104434473
2025-08-04,204.505,203.35,75109298
2025-08-05,203.4,202.92,44155079
2025-08-06,205.63,213.25,108483103
2025-08-07,218.875,220.03,90224834
2025-08-08,220.83,229.35,113853967
2025-08-11,227.92,227.18,61806132
2025-08-12,228.005,229.65,55672301
2025-08-13,231.07,233.33,69878546
2025-08-14,234.055,232.78,51916275
2025-08-15,234.0,231.59,56038657
2025-08-18,231.7,230.89,37476188
2025-08-19,231.275,230.56,39402564
2025-08-20,229.98,226.01,42263865
2025-08-21,226.27,224.9,30621249
2025-08-22,226.17,227.76,42477811
